Video_Name,Total_Shots,Contact_Frame,Time_Sec,Predicted_Label,Confidence,Quality
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,19,0.63,Drop,0.9,85.8
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,51,1.7,Smash,0.9,61.5
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,79,2.63,Drop,0.9,49.4
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,110,3.67,Clear,0.9,91.7
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,130,4.33,Lift,0.9,30.0
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,148,4.93,Drop,0.9,59.1
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,176,5.87,Lift,0.9,45.3
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,212,7.07,Drive,0.9,81.5
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,244,8.13,Drop,0.9,76.6
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,276,9.2,Lift,0.9,71.1
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,304,10.13,Lift,0.9,30.0
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,337,11.23,Drop,0.9,59.3
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,370,12.33,Smash,0.9,89.3
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,402,13.4,Smash,0.9,98.0
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,424,14.13,Lift,0.9,71.0
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,450,15.0,Lift,0.9,30.0
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,474,15.8,Drop,0.9,57.0
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,508,16.93,Drive,0.9,55.4
WhatsApp_Video_2026-05-26_at_8.32.27_PM_121c0ee6.mp4,19,530,17.67,Drive,0.9,57.4
